Bounty Killer;2013;tt2369396;44436;4589;5.4;0;10;7;4;8;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;
Breathe In;2013;tt1999987;196811;7501;6.4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Broken City;2013;tt1235522;138189;56837;6.2;2;23;69;86;16;5;0;0;3;0;1;0;0;0;4;2;0;0;0;1;3;2;0;0;0;0;0;0;1;0;
Bula Quo!;2013;tt2363115;219018;224;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Hatchet III;2013;tt1870419;219899;4531;5.6;1;5;7;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Cadences obstinées;2013;tt2589070;216916;65;5.2;0;0;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cal;2013;tt2139725;223518;226;5.4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Call;2013;tt1911644;193235;76873;6.7;54;221;176;53;28;11;0;2;0;1;0;0;13;17;11;6;1;0;3;7;6;1;0;0;0;9;4;0;0;0;
Can;2013;tt3114180;198931;12;7.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
Hunting Elephants;2013;tt2295196;222075;551;6.5;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Canyons;2013;tt2292959;208744;7261;3.9;2;7;19;21;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Captain Phillips;2013;tt1535109;191696;275715;7.9;155;386;147;45;9;4;7;8;6;2;0;0;48;49;17;2;1;0;5;23;5;1;0;0;1;13;6;2;0;0;
Captive;2013;tt2386203;183143;197;3.7;1;4;15;10;8;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Screwed;2013;tt1956618;192538;183;4.1;0;3;6;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
